,cell_line_id,drug_id,labels
73,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.8923665974143072
75,DU145_PROSTATE,17-AAG,-3.101776622972836
76,DV90_LUNG,17-AAG,-2.1124617080965424
77,EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.20729206755444596
79,EBC1_LUNG,17-AAG,-3.9766000339737846
80,EFE184_ENDOMETRIUM,17-AAG,-0.9483449917066111
81,EFM19_BREAST,17-AAG,-2.845526519008161
82,EFO21_OVARY,17-AAG,-1.2428459317607994
83,EFO27_OVARY,17-AAG,-1.0041390435413806
84,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-2.0376343916246884
85,EN_ENDOMETRIUM,17-AAG,2.0794415416798357
86,ES2_OVARY,17-AAG,-0.35719237778453833
87,ESS1_ENDOMETRIUM,17-AAG,-2.139605984394917
88,F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.8314417183999534
89,FADU_UPPER_AERODIGESTIVE_TRACT,17-AAG,-3.948472541840988
90,FU97_STOMACH,17-AAG,-2.7668740898994746
91,FUOV1_OVARY,17-AAG,-0.9855819585788843
92,G361_SKIN,17-AAG,-2.415642084013285
93,G401_SOFT_TISSUE,17-AAG,-2.4594846525316014
94,G402_SOFT_TISSUE,17-AAG,-2.6113974184471322
95,GAMG_CENTRAL_NERVOUS_SYSTEM,17-AAG,-2.2150323975436943
96,GB1_CENTRAL_NERVOUS_SYSTEM,17-AAG,-0.26310141019265465
97,GCIY_STOMACH,17-AAG,-0.23153296549440733
98,GCT_SOFT_TISSUE,17-AAG,-1.107001538222988
99,GI1_CENTRAL_NERVOUS_SYSTEM,17-AAG,-1.6161989317025656
101,GMS10_CENTRAL_NERVOUS_SYSTEM,17-AAG,-1.405266181391822
102,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-4.511342468124034
103,H4_CENTRAL_NERVOUS_SYSTEM,17-AAG,-1.8919892496474537
104,HARA_LUNG,17-AAG,-1.5491293593856659
105,HCC1187_BREAST,17-AAG,0.4262283314005837
106,HCC1395_BREAST,17-AAG,2.0794415416798357
107,HCC1569_BREAST,17-AAG,-1.6036791211489614
108,HCC15_LUNG,17-AAG,-3.256024340506525
109,HCC1806_BREAST,17-AAG,-2.6958565961916015
110,HCC1954_BREAST,17-AAG,-3.0298372735100774
111,HCC2935_LUNG,17-AAG,-4.002469293156753
112,HCC4006_LUNG,17-AAG,-3.1136359039816317
113,HCC44_LUNG,17-AAG,-2.724398799131358
114,HCC70_BREAST,17-AAG,-2.729406696225942
115,HCC78_LUNG,17-AAG,-0.21893626437136843
116,HCC827_LUNG,17-AAG,-1.6675841610810573
117,HCT116_LARGE_INTESTINE,17-AAG,-1.5946002716827365
118,HCT15_LARGE_INTESTINE,17-AAG,-0.5235453019741757
119,HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-1.8847231442293813
120,HDQP1_BREAST,17-AAG,-2.1001876292547323
121,HEC151_ENDOMETRIUM,17-AAG,-1.701779504358783
122,HEC1A_ENDOMETRIUM,17-AAG,-1.8641229061225317
123,HEC1B_ENDOMETRIUM,17-AAG,-2.795800376390652
124,HEC251_ENDOMETRIUM,17-AAG,-0.09917572540824655
125,HEC265_ENDOMETRIUM,17-AAG,-3.104341995503391
126,HEC59_ENDOMETRIUM,17-AAG,-1.4407058298587498
127,HEC6_ENDOMETRIUM,17-AAG,-0.5771579180864947
128,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,0.4804861643689256
129,HEP3B217_LIVER,17-AAG,-1.5622176084219968
130,HEPG2_LIVER,17-AAG,-3.792888305903311
131,HEYA8_OVARY,17-AAG,-2.478502559816836
132,HGC27_STOMACH,17-AAG,-1.6103460897022621
133,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-1.151412530562496
135,HLF_LIVER,17-AAG,-1.4531335021217018
136,HMC18_BREAST,17-AAG,-2.2532678772645007
137,HMCB_SKIN,17-AAG,-3.3714221465332184
138,HOS_BONE,17-AAG,-1.9889374672652607
139,HPAC_PANCREAS,17-AAG,-2.402461606649812
140,HPAFII_PANCREAS,17-AAG,-1.8863053543799617
142,HS294T_SKIN,17-AAG,-1.4710760845445514
143,HS578T_BREAST,17-AAG,-2.766490013229443
144,HS683_CENTRAL_NERVOUS_SYSTEM,17-AAG,-1.9384893792020708
145,HS695T_SKIN,17-AAG,-2.3484342441850097
146,HS729_SOFT_TISSUE,17-AAG,-2.715534967209708
148,HS746T_STOMACH,17-AAG,-1.9230200888673101
149,HS766T_PANCREAS,17-AAG,-1.5668875899334742
151,HS852T_SKIN,17-AAG,-3.144743503010935
153,HS936T_SKIN,17-AAG,-2.7862607032897997
154,HS939T_SKIN,17-AAG,-3.504086586858106
155,HS944T_SKIN,17-AAG,-2.0498009408421405
156,HSC2_UPPER_AERODIGESTIVE_TRACT,17-AAG,-0.6939690482006496
157,HT1080_SOFT_TISSUE,17-AAG,-2.1758751939430705
158,HT1197_URINARY_TRACT,17-AAG,0.6612330827611729
159,HT1376_URINARY_TRACT,17-AAG,-1.007472503793685
160,HT144_SKIN,17-AAG,-2.529242560888057
161,HT29_LARGE_INTESTINE,17-AAG,-4.090307980192421
162,HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-1.605814400290771
163,HUCCT1_BILIARY_TRACT,17-AAG,-2.386147392169638
164,HUH1_LIVER,17-AAG,-3.3954172588043217
165,HUPT3_PANCREAS,17-AAG,-1.2033200074441923
166,HUPT4_PANCREAS,17-AAG,-4.549809937879545
167,HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-1.382960871375685
168,IALM_LUNG,17-AAG,2.0794415416798357
169,IGR37_SKIN,17-AAG,2.0794415416798357
170,IGR39_SKIN,17-AAG,2.0794415416798357
171,IGROV1_OVARY,17-AAG,-0.7111281720026483
172,IM95_STOMACH,17-AAG,-3.2747657200887934
173,IMR32_AUTONOMIC_GANGLIA,17-AAG,0.5446831147510139
174,IPC298_SKIN,17-AAG,-2.5121295328144067
175,ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,17-AAG,-2.3236863263141565
176,ISTMES1_PLEURA,17-AAG,-0.34636239015307235
177,ISTMES2_PLEURA,17-AAG,-2.010582335659048
178,J82_URINARY_TRACT,17-AAG,-1.249804849048049
179,JHH2_LIVER,17-AAG,2.0794415416798357
180,JHH4_LIVER,17-AAG,2.0794415416798357
181,JHH5_LIVER,17-AAG,-4.0086293949494305
182,JHH6_LIVER,17-AAG,-1.4970682538105
183,JHH7_LIVER,17-AAG,-2.42854598006129
184,JHOS2_OVARY,17-AAG,-1.93091603178256
185,JHOS4_OVARY,17-AAG,0.4516981567537874
186,JHUEM2_ENDOMETRIUM,17-AAG,-3.0310662299419917
187,JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,0.11272490396058266
188,JMSU1_URINARY_TRACT,17-AAG,-3.1036507468867067
189,JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.18718345830602884
190,JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-2.572470627433252
191,K029AX_SKIN,17-AAG,-2.1268249737609777
192,KALS1_CENTRAL_NERVOUS_SYSTEM,17-AAG,-2.4106648357343623
193,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-1.563707691786994
194,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-1.5865968030623598
195,KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.5859756204336031
196,KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-3.607456087680804
198,KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-2.22836641982505
199,KE39_STOMACH,17-AAG,-2.077191020004569
200,KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-2.09075550385573
201,KELLY_AUTONOMIC_GANGLIA,17-AAG,0.7995506862645044
202,KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-3.0556926610229125
203,KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-1.7857010147818608
204,KLE_ENDOMETRIUM,17-AAG,-0.07507243463663804
205,KMBC2_URINARY_TRACT,17-AAG,-2.790393018250587
206,KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-1.6589815488924973
207,KMRC1_KIDNEY,17-AAG,-1.1719205179322136
208,KMRC2_KIDNEY,17-AAG,0.8221631622306925
209,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-3.3942805382723353
210,KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-2.0800790408392515
211,KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-1.4387856233107323
212,KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-1.7634878231720674
213,KNS42_CENTRAL_NERVOUS_SYSTEM,17-AAG,2.0794415416798357
214,KNS60_CENTRAL_NERVOUS_SYSTEM,17-AAG,-2.8920573937824194
215,KNS62_LUNG,17-AAG,-0.550244108874856
216,KNS81_CENTRAL_NERVOUS_SYSTEM,17-AAG,-1.3582744549931625
217,KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.4263512320649103
220,KP2_PANCREAS,17-AAG,-3.2654718267233065
221,KP3_PANCREAS,17-AAG,-1.7912619270227084
222,KP4_PANCREAS,17-AAG,-2.86883033729527
223,KPNSI9S_AUTONOMIC_GANGLIA,17-AAG,-2.4932345063247507
224,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-2.0432261245234766
225,KURAMOCHI_OVARY,17-AAG,-1.099880737809682
226,KYM1_SOFT_TISSUE,17-AAG,-2.4248130903720075
227,KYSE140_OESOPHAGUS,17-AAG,-0.03876336911101296
228,KYSE150_OESOPHAGUS,17-AAG,-2.5144798622533715
229,KYSE180_OESOPHAGUS,17-AAG,-2.5852823171390775
230,KYSE30_OESOPHAGUS,17-AAG,-0.20888967963466096
231,KYSE410_OESOPHAGUS,17-AAG,-1.3121429484811489
232,KYSE450_OESOPHAGUS,17-AAG,-0.34221468496272534
233,KYSE510_OESOPHAGUS,17-AAG,-1.7404298180014224
234,KYSE520_OESOPHAGUS,17-AAG,-2.526984319838903
235,KYSE70_OESOPHAGUS,17-AAG,-2.8074906748392965
236,L33_PANCREAS,17-AAG,-1.849467788591276
237,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-3.7417028026480943
238,L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,0.22635608240601698
240,LCLC103H_LUNG,17-AAG,1.29922370273679
241,LN18_CENTRAL_NERVOUS_SYSTEM,17-AAG,-2.8067993865134255
242,LN229_CENTRAL_NERVOUS_SYSTEM,17-AAG,-2.7941412707954503
243,LOUNH91_LUNG,17-AAG,2.0794415416798357
244,LOXIMVI_SKIN,17-AAG,-1.6851426510488146
245,LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.4929906368875394
246,LS123_LARGE_INTESTINE,17-AAG,-1.0519448702157277
247,LS411N_LARGE_INTESTINE,17-AAG,-2.503557561762959
248,LS513_LARGE_INTESTINE,17-AAG,-3.537360222081935
249,LU99_LUNG,17-AAG,-2.950785504823272
250,LUDLU1_LUNG,17-AAG,-3.02215639584244
252,MALME3M_SKIN,17-AAG,-2.399942309549195
254,MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.2992784971610302
255,MCAS_OVARY,17-AAG,-2.617664974449435
256,MCF7_BREAST,17-AAG,-3.9759728998404245
257,MDAMB157_BREAST,17-AAG,2.0794415416798357
258,MDAMB175VII_BREAST,17-AAG,-3.416493696055032
259,MDAMB415_BREAST,17-AAG,-3.9950033905204245
260,MDAMB435S_SKIN,17-AAG,-2.5740374755869513
261,MDAMB436_BREAST,17-AAG,2.0794415416798357
262,MDAMB453_BREAST,17-AAG,-4.164950991937101
263,MDAMB468_BREAST,17-AAG,-1.002310973836783
264,MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.8322098263999305
265,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,0.04895801960472968
266,MELHO_SKIN,17-AAG,2.0794415416798357
267,MESSA_SOFT_TISSUE,17-AAG,-3.2751344260139845
268,MEWO_SKIN,17-AAG,2.0794415416798357
269,MFE280_ENDOMETRIUM,17-AAG,-1.572494632009283
270,MFE296_ENDOMETRIUM,17-AAG,-1.1145135167490134
271,MFE319_ENDOMETRIUM,17-AAG,-2.529516584503752
272,MG63_BONE,17-AAG,-0.205018510526795
273,MHHES1_BONE,17-AAG,-1.9209461742626046
274,MIAPACA2_PANCREAS,17-AAG,-3.8652884764392517
275,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-2.5010689834802995
276,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-2.3313826405634677
277,MKN45_STOMACH,17-AAG,-4.0252046935397665
278,MKN74_STOMACH,17-AAG,-1.7774977704450254
279,MKN7_STOMACH,17-AAG,-0.0033641955653457836
281,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-1.1290765044127822
282,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.804404944186285
283,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-4.2363833085494
284,MORCPR_LUNG,17-AAG,-2.5725781820867497
285,MPP89_PLEURA,17-AAG,-1.6045547345777134
286,MSTO211H_PLEURA,17-AAG,-1.6587665117837411
287,NCIH1048_LUNG,17-AAG,-3.0236772423255793
288,NCIH1092_LUNG,17-AAG,2.0794415416798357
289,NCIH1155_LUNG,17-AAG,-2.142278948399998
290,NCIH1184_LUNG,17-AAG,-1.4654997244640606
291,NCIH1299_LUNG,17-AAG,-1.3195626954329192
292,NCIH1339_LUNG,17-AAG,-3.599529437208976
293,NCIH1341_LUNG,17-AAG,-4.283390356110236
294,NCIH1355_LUNG,17-AAG,-2.2586752755097947
295,NCIH1373_LUNG,17-AAG,-2.6928456582241527
296,NCIH1563_LUNG,17-AAG,-1.533107032770976
297,NCIH1568_LUNG,17-AAG,2.0794415416798357
298,NCIH1573_LUNG,17-AAG,-2.0521206202674898
299,NCIH1581_LUNG,17-AAG,-0.5018237012557445
300,NCIH1648_LUNG,17-AAG,2.0794415416798357
301,NCIH1650_LUNG,17-AAG,-3.4847461132610724
302,NCIH1651_LUNG,17-AAG,-1.4137151295454977
303,NCIH1666_LUNG,17-AAG,-4.077204417365214
304,NCIH1693_LUNG,17-AAG,2.0794415416798357
305,NCIH1694_LUNG,17-AAG,1.2088932113446995
306,NCIH1703_LUNG,17-AAG,-3.2410926765603025
307,NCIH1792_LUNG,17-AAG,-2.2728848832752817
308,NCIH1793_LUNG,17-AAG,-1.4329788188460717
309,NCIH1869_LUNG,17-AAG,-2.3023795341227182
310,NCIH1915_LUNG,17-AAG,-3.3412208192025954
311,NCIH1944_LUNG,17-AAG,-3.6394547484514037
312,NCIH1975_LUNG,17-AAG,-2.887863609930635
313,NCIH2009_LUNG,17-AAG,-1.670764062764131
314,NCIH2023_LUNG,17-AAG,-3.755221157340941
315,NCIH2030_LUNG,17-AAG,-3.0145830380153713
316,NCIH2052_PLEURA,17-AAG,-1.435190921549204
317,NCIH2085_LUNG,17-AAG,-0.2719805582682479
318,NCIH2087_LUNG,17-AAG,-2.74741068602311
319,NCIH211_LUNG,17-AAG,-2.0737192094970784
320,NCIH2122_LUNG,17-AAG,-3.634032015187367
321,NCIH2170_LUNG,17-AAG,-4.181111612698247
322,NCIH2172_LUNG,17-AAG,-5.13289361014806
323,NCIH2228_LUNG,17-AAG,-2.176689374321521
324,NCIH226_LUNG,17-AAG,2.0794415416798357
325,NCIH2286_LUNG,17-AAG,-3.3663681624031305
326,NCIH23_LUNG,17-AAG,-3.067212550355845
327,NCIH2444_LUNG,17-AAG,-1.3165824724544222
328,NCIH2452_PLEURA,17-AAG,-1.9110071534586937
329,NCIH28_PLEURA,17-AAG,-1.9077964965445182
330,NCIH322_LUNG,17-AAG,-3.69936572335643
331,NCIH3255_LUNG,17-AAG,-2.5386593112040816
332,NCIH358_LUNG,17-AAG,-2.5774632202567203
333,NCIH441_LUNG,17-AAG,-1.7682346191826444
334,NCIH460_LUNG,17-AAG,-2.7527719773961956
335,NCIH520_LUNG,17-AAG,-2.302794314879418
336,NCIH522_LUNG,17-AAG,-2.5302410348463993
337,NCIH647_LUNG,17-AAG,-1.9203317795951131
338,NCIH650_LUNG,17-AAG,-1.1830885465167265
339,NCIH661_LUNG,17-AAG,2.0794415416798357
340,NCIH727_LUNG,17-AAG,-1.0581971660289935
341,NCIH747_LARGE_INTESTINE,17-AAG,-2.4755069695249454
342,NCIH810_LUNG,17-AAG,2.0794415416798357
343,NCIN87_STOMACH,17-AAG,-5.070328930663974
344,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-2.1454895364330295
345,NIHOVCAR3_OVARY,17-AAG,-1.4027007570243588
346,NUGC3_STOMACH,17-AAG,-2.7929430492142453
347,NUGC4_STOMACH,17-AAG,-3.916520052001497
348,OC314_OVARY,17-AAG,-1.7133008666636798
351,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-2.4235072768746
352,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-1.1865756790423458
354,OCUM1_STOMACH,17-AAG,-3.0708533340931137
355,OE21_OESOPHAGUS,17-AAG,-2.1878266891504152
356,OE33_OESOPHAGUS,17-AAG,-2.837876340947558
357,ONCODG1_OVARY,17-AAG,-1.550757702114018
358,ONS76_CENTRAL_NERVOUS_SYSTEM,17-AAG,0.44845683537497705
359,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.4058739306647188
360,OV90_OVARY,17-AAG,-3.985171876128283
361,OVCAR4_OVARY,17-AAG,-0.7783667361843543
362,OVCAR8_OVARY,17-AAG,-1.9232658073744566
363,OVMANA_OVARY,17-AAG,-1.0086707296081106
364,OVSAHO_OVARY,17-AAG,1.2427076536972927
365,OVTOKO_OVARY,17-AAG,-0.21589460477771025
366,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.5205958675358111
367,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.5983571923954704
368,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,0.020446599313448575
369,PANC0203_PANCREAS,17-AAG,-2.495461900968582
370,PANC0327_PANCREAS,17-AAG,-2.686624068874237
371,PANC0403_PANCREAS,17-AAG,-2.668589391774322
372,PANC1005_PANCREAS,17-AAG,-2.4420489737939692
373,PATU8902_PANCREAS,17-AAG,-0.4148144821170748
374,PC14_LUNG,17-AAG,-2.2911961736433146
375,PC3_PROSTATE,17-AAG,-0.9463940362050599
376,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.7992587581942194
377,PK1_PANCREAS,17-AAG,-2.5415319742159506
378,PK45H_PANCREAS,17-AAG,-2.0084469906241305
379,PK59_PANCREAS,17-AAG,-1.6126964958549455
381,PLCPRF5_LIVER,17-AAG,-2.2446191835997378
382,PSN1_PANCREAS,17-AAG,-1.8904837799503165
383,QGP1_PANCREAS,17-AAG,-1.9588437263464051
384,RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,0.978945672186625
385,RD_SOFT_TISSUE,17-AAG,-2.1451055257799827
386,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.5850385568125298
387,RERFGC1B_STOMACH,17-AAG,0.6582375065893563
388,RERFLCAI_LUNG,17-AAG,-2.2827932990898803
389,RERFLCMS_LUNG,17-AAG,-1.8233066518482868
391,RKO_LARGE_INTESTINE,17-AAG,-2.571395284885529
392,RL952_ENDOMETRIUM,17-AAG,-3.290619091297494
393,RPMI7951_SKIN,17-AAG,-4.154028772614004
394,RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.35415082649084717
395,RT112_URINARY_TRACT,17-AAG,-2.756935003499698
396,RT4_URINARY_TRACT,17-AAG,-2.8334214016987063
397,RVH421_SKIN,17-AAG,-2.594130699290227
398,SAOS2_BONE,17-AAG,-1.5337982624693902
399,SBC5_LUNG,17-AAG,-1.9585057567201765
400,SCABER_URINARY_TRACT,17-AAG,-2.5523159372348605
401,SCC25_UPPER_AERODIGESTIVE_TRACT,17-AAG,-2.387391749439841
402,SCC9_UPPER_AERODIGESTIVE_TRACT,17-AAG,-3.078104023007603
403,SF126_CENTRAL_NERVOUS_SYSTEM,17-AAG,0.19928853835930352
404,SF295_CENTRAL_NERVOUS_SYSTEM,17-AAG,-1.760922445424921
406,SH10TC_STOMACH,17-AAG,-0.8536241492206795
407,SHP77_LUNG,17-AAG,-1.1637940790589905
408,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-1.7704620479285973
409,SIMA_AUTONOMIC_GANGLIA,17-AAG,0.5758829582966158
411,SJSA1_BONE,17-AAG,-1.1635330204388599
412,SKBR3_BREAST,17-AAG,-3.3089610485604934
413,SKCO1_LARGE_INTESTINE,17-AAG,-2.885651499863366
414,SKES1_BONE,17-AAG,-0.5741316975677643
415,SKHEP1_LIVER,17-AAG,-1.4690176042206033
416,SKLMS1_SOFT_TISSUE,17-AAG,-1.3009749817512528
417,SKLU1_LUNG,17-AAG,-3.3277946638561136
418,SKMEL24_SKIN,17-AAG,-1.7467281492417648
420,SKMEL30_SKIN,17-AAG,2.0794415416798357
421,SKMEL31_SKIN,17-AAG,2.0794415416798357
422,SKMEL5_SKIN,17-AAG,-1.558085296056134
423,SKMES1_LUNG,17-AAG,-3.617395198037846
424,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-2.1518186274512767
425,SKNAS_AUTONOMIC_GANGLIA,17-AAG,-0.9538751760459763
426,SKNBE2_AUTONOMIC_GANGLIA,17-AAG,0.15701288210128939
427,SKNDZ_AUTONOMIC_GANGLIA,17-AAG,-0.4507764757381319
428,SKNFI_AUTONOMIC_GANGLIA,17-AAG,-0.0067131035422414165
429,SKNSH_AUTONOMIC_GANGLIA,17-AAG,-1.439553666841842
430,SKOV3_OVARY,17-AAG,-2.1446754042445675
431,SNGM_ENDOMETRIUM,17-AAG,-1.2772870710343558
432,SNU16_STOMACH,17-AAG,-4.213018036701491
433,SNU182_LIVER,17-AAG,0.1822523535661332
434,SNU1_STOMACH,17-AAG,-3.0646624827185525
435,SNU387_LIVER,17-AAG,-1.077553045362296
436,SNU398_LIVER,17-AAG,-0.602719990441483
437,SNU423_LIVER,17-AAG,-0.15619873466052045
438,SNU449_LIVER,17-AAG,0.6744441884133608
439,SNU475_LIVER,17-AAG,-5.9745625932886295
